,City,Latitude,Longitude,Maximum Temperature,Humidity,Cloud Cover,Wind Speed,Country,Datetime,Hemisphere
0,vanimo,-2.6741,141.3028,77.9,90,100,1.94,PG,1622319548,south
1,rikitea,-23.1203,-134.9692,77.21600000000001,86,91,8.93,PF,1622318979,south
2,saskylakh,71.9167,114.0833,30.938000000000045,96,61,3.66,RU,1622319386,north
3,ocos,14.5094,-92.1933,87.98000000000005,69,63,4.18,GT,1622319549,north
4,kapaa,22.0752,-159.319,81.12200000000004,70,20,0.89,US,1622318970,north
5,cape town,-33.9258,18.4232,59.342,85,4,0.45,ZA,1622318983,south
6,severo-kurilsk,50.6789,156.125,40.766000000000005,87,100,2.87,RU,1622319396,north
7,ushuaia,-54.8,-68.3,28.49000000000002,94,100,3.4,AR,1622318708,south
8,bogorodskoye,56.55,37.8833,46.274000000000015,88,100,5.56,RU,1622319549,north
9,faanui,-16.4833,-151.75,79.53800000000004,68,33,2.52,PF,1622319550,south
10,thompson,55.7435,-97.8558,58.13600000000007,62,100,6.28,CA,1622318977,north
11,hermanus,-34.4187,19.2345,57.90200000000008,81,28,2.18,ZA,1622318987,south
12,atuona,-9.8,-139.0333,78.74600000000005,72,6,4.38,PF,1622318968,south
13,nemuro,43.3236,145.575,44.90600000000003,97,94,5.42,JP,1622319507,north
14,khatanga,71.9667,102.5,36.77000000000006,80,99,5.13,RU,1622319207,north
15,chokurdakh,70.6333,147.9167,51.76400000000004,45,9,5.1,RU,1622318986,north
16,mataura,-46.1927,168.8643,49.478000000000065,95,100,2.04,NZ,1622318973,south
17,jelgava,56.65,23.7128,50.03600000000007,62,9,4.31,LV,1622319551,north
18,cockburn town,21.4612,-71.1419,82.36400000000003,74,40,5.14,TC,1622319421,north
19,cidreira,-30.1811,-50.2056,63.733999999999995,68,0,5.02,BR,1622319212,south
20,bluff,-46.6,168.3333,49.80200000000008,86,100,8.95,NZ,1622318975,south
21,quatre cocos,-20.2078,57.7625,75.308,84,37,2.15,MU,1622319551,south
22,hobart,-42.8794,147.3294,46.25600000000003,78,75,0.89,AU,1622319312,south
23,bredasdorp,-34.5322,20.0403,52.28600000000007,90,8,2.08,ZA,1622319239,south
24,cabo san lucas,22.8909,-109.9124,101.516,48,20,3.6,MX,1622319552,north
25,jamestown,42.097,-79.2353,53.18600000000007,79,90,3.13,US,1622318938,north
26,kaitangata,-46.2817,169.8464,49.31600000000001,93,100,4.82,NZ,1622319367,south
27,saint george,37.1041,-113.5841,95.46800000000009,10,1,0.89,US,1622319505,north
28,otjimbingwe,-22.35,16.1333,68.37800000000007,26,65,1.49,NA,1622319552,south
29,port elizabeth,-33.918,25.5701,56.102000000000075,94,90,5.14,ZA,1622319553,south
30,gravelbourg,49.8834,-106.5512,62.87000000000006,37,100,6.38,CA,1622319553,north
31,balabac,7.9868,117.0645,81.23000000000005,82,100,3.27,PH,1622319554,north
32,cabra,37.4725,-4.4421,81.392,52,36,2.92,ES,1622319554,north
33,tuktoyaktuk,69.4541,-133.0374,30.2,74,90,3.09,CA,1622318983,north
34,basco,20.4487,121.9702,84.52400000000002,76,100,6.38,PH,1622319554,north
35,saint-philippe,-21.3585,55.7679,71.15,81,16,2.17,RE,1622318985,south
36,campo de criptana,39.4046,-3.1249,76.64000000000001,33,24,2.92,ES,1622319555,north
37,hamilton,39.1834,-84.5333,57.056000000000026,76,90,1.34,US,1622319481,north
38,sioux lookout,50.1001,-91.917,66.27200000000005,26,75,5.66,CA,1622319555,north
39,tanushimaru,33.35,130.6833,60.62000000000006,69,64,1.22,JP,1622319556,north
40,longyearbyen,78.2186,15.6401,33.63800000000005,69,75,2.57,SJ,1622318978,north
41,moyale,3.5167,39.0584,71.25800000000001,61,80,2.05,KE,1622319488,north
42,le pont-de-claix,45.1244,5.7064,66.092,73,99,1.5,FR,1622319556,north
43,diego de almagro,-26.3667,-70.05,77.91800000000009,20,0,5.14,CL,1622319556,south
44,esperance,-33.8667,121.9,62.438000000000045,82,100,7.98,AU,1622319402,south
45,coquimbo,-29.9533,-71.3436,60.530000000000044,82,0,3.04,CL,1622319196,south
46,arraial do cabo,-22.9661,-42.0278,80.45600000000003,74,0,3.6,BR,1622318936,south
47,saint-francois,46.4154,3.9054,62.67200000000004,57,0,3.09,FR,1622319557,north
48,baykit,61.67,96.37,36.35600000000003,98,100,2.98,RU,1622319557,north
49,new norfolk,-42.7826,147.0587,45.91400000000003,76,34,1.51,AU,1622319558,south
50,conde,-7.2597,-34.9075,80.06000000000009,74,20,5.23,BR,1622319558,south
51,thinadhoo,0.5333,72.9333,83.82200000000003,72,78,8.97,MV,1622319558,north
52,albany,42.6001,-73.9662,53.16800000000009,74,100,2.79,US,1622319192,north
53,komsomolskiy,40.4272,71.7189,77.72000000000006,27,61,5.14,UZ,1622319559,north
54,punta arenas,-53.15,-70.9167,37.508,48,40,8.38,CL,1622318844,south
55,hirara,24.8,125.2833,81.75200000000008,86,100,8.61,JP,1622319559,north
56,deputatskiy,69.3,139.9,44.96000000000008,54,34,6.61,RU,1622319311,north
57,tilichiki,60.4667,166.1,38.42600000000009,82,100,2.76,RU,1622319423,north
58,lavrentiya,65.5833,-171.0,32.09000000000002,80,7,3.97,RU,1622318979,north
59,lompoc,34.6391,-120.4579,72.01400000000004,74,90,7.72,US,1622319343,north
60,bethel,41.3712,-73.414,49.49600000000005,87,100,2.24,US,1622318974,north
61,pevek,69.7008,170.3133,42.188000000000045,56,0,5.47,RU,1622319257,north
62,launceston,-41.45,147.1667,33.15200000000008,93,14,1.06,AU,1622319560,south
63,kingston,17.997,-76.7936,85.15400000000005,72,20,6.17,JM,1622319311,north
64,okhotsk,59.3833,143.3,35.79800000000002,92,98,4.24,RU,1622319560,north
65,date,42.4681,140.8681,53.06000000000009,97,100,2.21,JP,1622319560,north
66,road town,18.4167,-64.6167,86.09000000000003,70,40,3.09,VG,1622319561,north
67,nikolskoye,59.7035,30.7861,49.891999999999996,70,0,1.96,RU,1622318969,north
68,locri,38.2414,16.2623,69.99800000000002,61,44,4.4,IT,1622319561,north
69,chuy,-33.6971,-53.4616,52.772000000000034,57,53,6.94,UY,1622319293,south
70,castro,-24.7911,-50.0119,69.35,69,15,3.5,BR,1622318967,south
71,xaxim,-26.9617,-52.5347,62.978000000000065,82,99,1.61,BR,1622319562,south
